feature,bin,count,win_rate,ci_low,ci_high
turnovers_diff,"(-6.001, -1.0]",973,0.7040082219938335,0.675324973157024,0.732691470830643
turnovers_diff,"(-1.0, 0.0]",700,0.5357142857142857,0.49876837931046336,0.572660192118108
turnovers_diff,"(0.0, 1.0]",494,0.44129554655870445,0.3975082194238733,0.4850828736935356
turnovers_diff,"(1.0, 2.0]",320,0.365625,0.31285682749708993,0.41839317250291
turnovers_diff,"(2.0, 5.0]",136,0.27941176470588236,0.2039976660154218,0.3548258633963429
interceptions_diff,"(-5.001, -1.0]",829,0.7092882991556092,0.6783767009414197,0.7401998973697987
interceptions_diff,"(-1.0, 0.0]",970,0.5402061855670103,0.5088421785170002,0.5715701926170204
interceptions_diff,"(0.0, 1.0]",591,0.41455160744500846,0.37483282366312826,0.45427039122688867
interceptions_diff,"(1.0, 5.0]",233,0.3261802575107296,0.2659827080596622,0.386377806961797
sacks_diff,"(-12.001, -2.0]",615,0.3902439024390244,0.35169032771831216,0.42879747715973665
sacks_diff,"(-2.0, -1.0]",403,0.4491315136476427,0.40056753306392123,0.49769549423136417
sacks_diff,"(-1.0, 0.0]",456,0.5263157894736842,0.48048669208916495,0.5721448868582034
sacks_diff,"(0.0, 1.0]",446,0.6233183856502242,0.5783475640426717,0.6682892072577767
sacks_diff,"(1.0, 2.0]",313,0.6549520766773163,0.6022863145430444,0.7076178388115881
sacks_diff,"(2.0, 18.0]",390,0.7410256410256411,0.6975477200259265,0.7845035620253556
yardsPerPass_diff,"(-19.001, -2.4]",449,0.3585746102449889,0.3142141808075365,0.40293503968244127
yardsPerPass_diff,"(-2.4, -1.0]",451,0.44567627494456763,0.3998030479993996,0.4915495018897357
yardsPerPass_diff,"(-1.0, 0.1]",420,0.5095238095238095,0.4617133814036071,0.5573342376440118
yardsPerPass_diff,"(0.1, 1.2]",430,0.6116279069767442,0.5655609529073116,0.6576948610461768
yardsPerPass_diff,"(1.2, 2.6]",458,0.648471615720524,0.6047446827248781,0.6921985487161699
yardsPerPass_diff,"(2.6, 36.5]",415,0.7156626506024096,0.6722613089832383,0.7590639922215809
rushingYards_diff,"(-458.001, -98.0]",437,0.38443935926773454,0.33882887359344377,0.4300498449420253
rushingYards_diff,"(-98.0, -43.0]",444,0.41216216216216217,0.3663767197808412,0.45794760454348316
rushingYards_diff,"(-43.0, 4.0]",435,0.5333333333333333,0.4864504625169063,0.5802162041497603
rushingYards_diff,"(4.0, 49.0]",438,0.5958904109589042,0.5499333980951021,0.6418474238227062
rushingYards_diff,"(49.0, 106.0]",438,0.6187214611872146,0.5732344096749304,0.6642085126994988
rushingYards_diff,"(106.0, 394.0]",431,0.7378190255220418,0.6962956216162013,0.7793424294278823
thirdDown%_diff,"(-0.557, -0.162]",438,0.3698630136986301,0.324650676921951,0.41507535047530925
thirdDown%_diff,"(-0.162, -0.0714]",443,0.48081264108352145,0.4342857320331213,0.5273395501339216
thirdDown%_diff,"(-0.0714, 0.0]",468,0.5790598290598291,0.5343291954230354,0.6237904626966229
thirdDown%_diff,"(0.0, 0.0714]",410,0.5146341463414634,0.46625613052928705,0.5630121621536398
thirdDown%_diff,"(0.0714, 0.167]",438,0.6255707762557078,0.5802453276662921,0.6708962248451235
thirdDown%_diff,"(0.167, 0.567]",426,0.7089201877934272,0.6657825870290126,0.7520577885578419
